ATT,DJIA,GM,IBM,INT1M,ratt,rdj,rgm,ribm,pratt,prdj,prgm,pribm
31.04,5539.45,38.98,28.37,4.75,0.00550697,0.0086178,0.05522469,0.00745739,0.00537502,0.00861765,0.05522445,0.00745585
30.69,5541.62,38.89,28.37,4.75,-0.01127577,0.00039174,-0.00230888,0,-0.01140772,0.00039205,-0.00230889,0.00000006
31.16,5600.15,38.98,28.81,4.73,0.01531444,0.01056189,0.00231422,0.01550934,0.01518305,0.01056147,0.00231393,0.01550928
31.39,5601.23,39.37,28.41,4.73,0.00738126,0.00019285,0.01000513,-0.01388407,0.00724987,0.00019265,0.01000513,-0.01388435
31.04,5579.55,39.86,28.56,4.71,-0.01115005,-0.00387058,0.01244603,0.00527983,-0.01128088,-0.00387027,0.01244613,0.00527949
30.64,5551.37,40.74,29.41,4.71,-0.0128866,-0.00505059,0.02207727,0.02976191,-0.01301743,-0.00505023,0.02207741,0.02976129
30.35,5503.32,41.81,29.5,4.72,-0.00946475,-0.00865552,0.02626411,0.00306018,-0.00959586,-0.00865526,0.02626435,0.00305945
30.35,5503.32,41.03,29.5,4.72,0,0,-0.01865582,0,-0.00013111,0,-0.01865582,0.00000052
30.23,5458.53,41.81,29.78,4.71,-0.00395387,-0.00813872,0.01901048,0.00949153,-0.00408471,-0.00813861,0.01901071,0.009491
30.69,5515.97,40.54,30.06,4.71,0.01521667,0.01052298,-0.03037551,0.00940228,0.01508584,0.01052256,-0.0303758,0.00940313
30.46,5608.46,41.22,31.03,4.73,-0.0074943,0.01676768,0.01677356,0.0322688,-0.00762569,0.01676789,0.01677309,0.03226833
30.64,5630.49,40.93,31.41,4.73,0.00590939,0.00392799,-0.00703542,0.01224621,0.005778,0.00392783,-0.00703553,0.01224641
30,5565.1,41.13,31.22,4.73,-0.02088773,-0.01161355,0.00488639,-0.00604903,-0.02101912,-0.01161297,0.00488671,-0.00604917
29.54,5549.21,40.05,32.19,4.73,-0.01533333,-0.0028553,-0.02625821,0.03106983,-0.01546472,-0.00285487,-0.02625813,0.03107056
29.54,5506.21,40.54,31.84,4.7,0,-0.00774885,0.01223471,-0.01087294,-0.00013056,-0.00774885,0.01223492,-0.01087328
29.37,5485.62,41.22,30.66,4.7,-0.00575491,-0.00373941,0.01677356,-0.0370603,-0.00588546,-0.00373925,0.01677366,-0.03706077
28.91,5536.56,41.32,29.53,4.7,-0.01566224,0.0092861,0.00242601,-0.03685584,-0.0157928,0.00928653,0.00242575,-0.03685591
29.43,5600.15,40.93,29.03,4.74,0.01798686,0.01148547,-0.00943853,-0.01693193,0.01785519,0.01148497,-0.00943885,-0.01693167
29.89,5642.42,39.08,29.75,4.7,0.01563031,0.00754801,-0.04519912,0.02480193,0.01549975,0.00754758,-0.04519933,0.02480319
29.66,5629.77,39.47,29.25,4.68,-0.00769488,-0.00224195,0.00997953,-0.01680672,-0.00782488,-0.00224173,0.00997959,-0.016807
30,5641.69,39.47,29.28,4.69,0.01146325,0.00211732,0,0.00102564,0.01133297,0.002117,-0.00000006,0.00102564
